date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:07	85384/85384	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Apr%202021%2011:59:57%20GMT	https://coderthemes.com/hyper/creative/dashboard-crm.html	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/dashboard-crm.html	(from )
18:53:08	177/177	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20May%202021%2017:17:53%20GMT	https://coderthemes.com/robots.txt		(from )
18:53:09	101684/101684	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2021%20Oct%202019%2009:08:13%20GMT	https://coderthemes.com/hyper/creative/assets/images/favicon.ico	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/images/favicon.ico	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
18:53:10	322101/322101	---MCZ	200	added ('OK')	text/css	date:Tue,%2013%20Apr%202021%2011:59:57%20GMT	https://coderthemes.com/hyper/creative/assets/css/icons.min.css	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/css/icons.min.css	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
18:53:11	355264/355264	---MCZ	200	added ('OK')	text/css	date:Tue,%2013%20Apr%202021%2011:59:57%20GMT	https://coderthemes.com/hyper/creative/assets/css/app-creative.min.css	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/css/app-creative.min.css	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
18:53:11	355532/355532	---MCZ	200	added ('OK')	text/css	date:Tue,%2013%20Apr%202021%2011:59:57%20GMT	https://coderthemes.com/hyper/creative/assets/css/app-creative-dark.min.css	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/css/app-creative-dark.min.css	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
18:53:12	1497/1497	---M--	200	added ('OK')	image/png	etag:%225dad757d-5d9%22	https://coderthemes.com/hyper/creative/assets/images/logo-light.png	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/images/logo-light.png	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
18:53:12	632/632	---M--	200	added ('OK')	image/png	etag:%225dad757d-278%22	https://coderthemes.com/hyper/creative/assets/images/logo_sm_dark.png	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/images/logo_sm_dark.png	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
18:53:12	1485/1485	---M--	200	added ('OK')	image/jpeg	etag:%225dad757d-5cd%22	https://coderthemes.com/hyper/creative/assets/images/flags/us.jpg	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/images/flags/us.jpg	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
18:53:12	698/698	---M--	200	added ('OK')	image/jpeg	etag:%225dad757d-2ba%22	https://coderthemes.com/hyper/creative/assets/images/flags/germany.jpg	C:/Users/Amine/Desktop/dash%20template/tempalte/coderthemes.com/hyper/creative/assets/images/flags/germany.jpg	(from https://coderthemes.com/hyper/creative/dashboard-crm.html)
